,ISO3,Supply-BaU2,Supply-HalfW2,Folate (ug DFE/day),Ft2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
93,MEX,13797670549222.184,16461320380151.543,16400990862737.762,19715176201473.6,2603320313515.578,2603320313515.578,2603320313515.578,-60329517413.78125,-60329517413.78125,-60329517413.78125,5917505652251.418,5917505652251.418,5917505652251.418,3253855821322.0586,3253855821322.0586,3253855821322.0586
94,MKD,300665780565.25555,373926038778.8427,284210447811.8524,283563306106.2347,-16455332753.403137,-16455332753.403137,-16455332753.403137,-89715590966.9903,-89715590966.9903,-89715590966.9903,-17102474459.020874,-17102474459.020874,-17102474459.020874,-90362732672.60803,-90362732672.60803,-90362732672.60803
95,MLI,4210685877656.4556,4921005116024.79,2065168465415.0818,3345205756336.8066,-2145517412241.3738,-2145517412241.3738,-2145517412241.3738,-2855836650609.708,-2855836650609.708,-2855836650609.708,-865480121319.6489,-865480121319.6489,-865480121319.6489,-1575799359687.9834,-1575799359687.9834,-1575799359687.9834
96,MLT,79188052370.69841,94688273700.01436,58046337069.76255,59673644723.467926,-21141715300.93586,-21141715300.93586,-21141715300.93586,-36641936630.25181,-36641936630.25181,-36641936630.25181,-19514407647.230484,-19514407647.230484,-19514407647.230484,-35014628976.54643,-35014628976.54643,-35014628976.54643
97,MNG,257666509010.46445,303232492776.4496,382849084279.622,475867050595.033,125182575269.15756,125182575269.15756,125182575269.15756,79616591503.17242,79616591503.17242,79616591503.17242,218200541584.56857,218200541584.56857,218200541584.56857,172634557818.58344,172634557818.58344,172634557818.58344
98,MRT,190926753180.386,223046988761.6819,512763633767.6053,777653991091.0698,321836880587.2193,321836880587.2193,321836880587.2193,289716645005.9234,289716645005.9234,289716645005.9234,586727237910.6838,586727237910.6838,586727237910.6838,554607002329.388,554607002329.388,554607002329.388
99,MUS,143430359936.4195,152746165176.0003,172009889940.26587,176073144423.87448,28579530003.846375,28579530003.846375,28579530003.846375,19263724764.265564,19263724764.265564,19263724764.265564,32642784487.454987,32642784487.454987,32642784487.454987,23326979247.874176,23326979247.874176,23326979247.874176
100,MWI,2969035753571.019,3704230077562.9424,2113140379259.9983,3347506009506.156,-855895374311.0208,-855895374311.0208,-855895374311.0208,-1591089698302.944,-1591089698302.944,-1591089698302.944,378470255935.1367,378470255935.1367,378470255935.1367,-356724068056.7866,-356724068056.7866,-356724068056.7866
101,MYS,2547063258476.9346,2848379533338.018,4061887425916.273,4980567506591.471,1514824167439.3384,1514824167439.3384,1514824167439.3384,1213507892578.255,1213507892578.255,1213507892578.255,2433504248114.536,2433504248114.536,2433504248114.536,2132187973253.4526,2132187973253.4526,2132187973253.4526
102,NAM,137210216708.30174,160812138338.76782,303241138958.8332,421282639731.54376,166030922250.53143,166030922250.53143,166030922250.53143,142429000620.06537,142429000620.06537,142429000620.06537,284072423023.242,284072423023.242,284072423023.242,260470501392.77594,260470501392.77594,260470501392.77594
103,NER,11195469518513.928,13059521439465.912,2303135838060.3677,4233620441063.4824,-8892333680453.56,-8892333680453.56,-8892333680453.56,-10756385601405.545,-10756385601405.545,-10756385601405.545,-6961849077450.445,-6961849077450.445,-6961849077450.445,-8825900998402.43,-8825900998402.43,-8825900998402.43
104,NGA,35614047360284.39,43668895421521.97,21907570641658.34,33169042882427.934,-13706476718626.05,-13706476718626.05,-13706476718626.05,-21761324779863.63,-21761324779863.63,-21761324779863.63,-2445004477856.457,-2445004477856.457,-2445004477856.457,-10499852539094.035,-10499852539094.035,-10499852539094.035
105,NIC,924676275923.9929,1073657012928.0275,788439755103.5382,938659474188.6472,-136236520820.45471,-136236520820.45471,-136236520820.45471,-285217257824.48926,-285217257824.48926,-285217257824.48926,13983198264.654297,13983198264.654297,13983198264.654297,-134997538739.38025,-134997538739.38025,-134997538739.38025
106,NLD,3581157792072.8623,4450208198080.14,2270031780249.408,2338538964383.9546,-1311126011823.454,-1311126011823.454,-1311126011823.454,-2180176417830.7314,-2180176417830.7314,-2180176417830.7314,-1242618827688.9077,-1242618827688.9077,-1242618827688.9077,-2111669233696.185,-2111669233696.185,-2111669233696.185
107,NOR,375924384895.6397,466641098112.4079,685002034909.3656,790654817523.1218,309077650013.7259,309077650013.7259,309077650013.7259,218360936796.9577,218360936796.9577,218360936796.9577,414730432627.4821,414730432627.4821,414730432627.4821,324013719410.7139,324013719410.7139,324013719410.7139
108,NPL,3280752401948.575,4007968117922.8467,3721588569008.802,4452703050947.191,440836167060.22656,440836167060.22656,440836167060.22656,-286379548914.0449,-286379548914.0449,-286379548914.0449,1171950648998.6162,1171950648998.6162,1171950648998.6162,444734933024.3447,444734933024.3447,444734933024.3447
109,NZL,810344892404.7441,1068530860897.2699,608213493487.996,691312580376.2147,-202131398916.74817,-202131398916.74817,-202131398916.74817,-460317367409.2739,-460317367409.2739,-460317367409.2739,-119032312028.52942,-119032312028.52942,-119032312028.52942,-377218280521.0552,-377218280521.0552,-377218280521.0552
110,OMN,364898324197.1718,430893716584.8667,530683799578.39844,806634864973.0105,165785475381.22662,165785475381.22662,165785475381.22662,99790082993.53174,99790082993.53174,99790082993.53174,441736540775.8387,441736540775.8387,441736540775.8387,375741148388.1438,375741148388.1438,375741148388.1438
111,PAK,16857735957756.744,19318553276710.57,23860236603785.785,31983277890332.46,7002500646029.041,7002500646029.041,7002500646029.041,4541683327075.215,4541683327075.215,4541683327075.215,15125541932575.717,15125541932575.717,15125541932575.717,12664724613621.89,12664724613621.89,12664724613621.89
112,PAN,283752565667.56915,328735509324.7705,512672902400.38873,646397714327.802,228920336732.81958,228920336732.81958,228920336732.81958,183937393075.61823,183937393075.61823,183937393075.61823,362645148660.23285,362645148660.23285,362645148660.23285,317662205003.0315,317662205003.0315,317662205003.0315
113,PER,4301638698500.568,5155128519742.263,4080812139357.33,4905496560208.3,-220826559143.2378,-220826559143.2378,-220826559143.2378,-1074316380384.9326,-1074316380384.9326,-1074316380384.9326,603857861707.7319,603857861707.7319,603857861707.7319,-249631959533.9629,-249631959533.9629,-249631959533.9629
114,PHL,6937632244694.902,8628559701753.089,13077753582083.426,16572277908970.94,6140121337388.523,6140121337388.523,6140121337388.523,4449193880330.337,4449193880330.337,4449193880330.337,9634645664276.037,9634645664276.037,9634645664276.037,7943718207217.851,7943718207217.851,7943718207217.851
115,PNG,608019242680.2207,772444851428.2025,995999811567.8282,1365086705200.861,387980568887.60754,387980568887.60754,387980568887.60754,223554960139.62573,223554960139.62573,223554960139.62573,757067462520.6404,757067462520.6404,757067462520.6404,592641853772.6586,592641853772.6586,592641853772.6586
116,POL,4186492647857.059,5629994945679.303,5178291914537.632,4922481906196.579,991799266680.5728,991799266680.5728,991799266680.5728,-451703031141.6709,-451703031141.6709,-451703031141.6709,735989258339.52,735989258339.52,735989258339.52,-707513039482.7236,-707513039482.7236,-707513039482.7236
117,PRT,2231820885684.9385,2525676733896.4033,1398204130522.981,1305916582241.0613,-833616755161.9575,-833616755161.9575,-833616755161.9575,-1127472603373.4224,-1127472603373.4224,-1127472603373.4224,-925904303443.8772,-925904303443.8772,-925904303443.8772,-1219760151655.342,-1219760151655.342,-1219760151655.342
118,PRY,3542832036002.8687,4492225127354.986,859466232925.1161,1040003204165.777,-2683365803077.7524,-2683365803077.7524,-2683365803077.7524,-3632758894429.87,-3632758894429.87,-3632758894429.87,-2502828831837.092,-2502828831837.092,-2502828831837.092,-3452221923189.2095,-3452221923189.2095,-3452221923189.2095
119,QAT,15644959742.369482,19805677191.65755,330039875575.68005,453711706552.0236,314394915833.31055,314394915833.31055,314394915833.31055,310234198384.0225,310234198384.0225,310234198384.0225,438066746809.6541,438066746809.6541,438066746809.6541,433906029360.3661,433906029360.3661,433906029360.3661
120,ROU,3553539143801.0483,4763902796685.879,2697713803644.43,2485074128053.6167,-855825340156.6182,-855825340156.6182,-855825340156.6182,-2066188993041.4487,-2066188993041.4487,-2066188993041.4487,-1068465015747.4316,-1068465015747.4316,-1068465015747.4316,-2278828668632.262,-2278828668632.262,-2278828668632.262
121,RUS,31239917659579.25,37919427485602.01,19383069000441.81,18867503958287.094,-11856848659137.441,-11856848659137.441,-11856848659137.441,-18536358485160.2,-18536358485160.2,-18536358485160.2,-12372413701292.156,-12372413701292.156,-12372413701292.156,-19051923527314.914,-19051923527314.914,-19051923527314.914
122,RWA,2207873678110.673,2700596447819.3853,1427649121090.5525,2064461917318.2468,-780224557020.1204,-780224557020.1204,-780224557020.1204,-1272947326728.8328,-1272947326728.8328,-1272947326728.8328,-143411760792.42603,-143411760792.42603,-143411760792.42603,-636134530501.1384,-636134530501.1384,-636134530501.1384
123,SAU,3407854159217.905,3750010380225.648,4093415226659.973,5355600903010.985,685561067442.0684,685561067442.0684,685561067442.0684,343404846434.3252,343404846434.3252,343404846434.3252,1947746743793.0806,1947746743793.0806,1947746743793.0806,1605590522785.3374,1605590522785.3374,1605590522785.3374
124,SEN,2554619099354.075,2934340403427.544,1809730077989.0613,2804346710661.524,-744889021365.0139,-744889021365.0139,-744889021365.0139,-1124610325438.4827,-1124610325438.4827,-1124610325438.4827,249727611307.44873,249727611307.44873,249727611307.44873,-129993692766.02002,-129993692766.02002,-129993692766.02002
125,SGP,589829059254.3553,626759423280.9641,749617671490.9868,868019860609.4031,159788612236.63147,159788612236.63147,159788612236.63147,122858248210.0227,122858248210.0227,122858248210.0227,278190801355.0477,278190801355.0477,278190801355.0477,241260437328.43896,241260437328.43896,241260437328.43896
126,SLB,70158759670.50223,83753648170.93265,73103436434.61476,100105008136.66106,2944676764.1125336,2944676764.1125336,2944676764.1125336,-10650211736.317886,-10650211736.317886,-10650211736.317886,29946248466.15883,29946248466.15883,29946248466.15883,16351359965.728409,16351359965.728409,16351359965.728409
127,SLE,834897365006.7474,1068473761507.4886,887150878066.7224,1242443482975.6572,52253513059.974976,52253513059.974976,52253513059.974976,-181322883440.76624,-181322883440.76624,-181322883440.76624,407546117968.9098,407546117968.9098,407546117968.9098,173969721468.16858,173969721468.16858,173969721468.16858
128,SLV,664901458454.4596,760302398225.9834,827371157773.3198,901423375294.6692,162469699318.86023,162469699318.86023,162469699318.86023,67068759547.336426,67068759547.336426,67068759547.336426,236521916840.2096,236521916840.2096,236521916840.2096,141120977068.6858,141120977068.6858,141120977068.6858
129,STP,11951535165.238583,15167263781.614498,23751485867.126194,33958978837.42596,11799950701.887611,11799950701.887611,11799950701.887611,8584222085.511696,8584222085.511696,8584222085.511696,22007443672.187378,22007443672.187378,22007443672.187378,18791715055.811462,18791715055.811462,18791715055.811462
130,SUR,28323710328.59305,37402814608.04505,72778132396.05235,82638494382.3464,44454422067.459305,44454422067.459305,44454422067.459305,35375317788.0073,35375317788.0073,35375317788.0073,54314784053.75336,54314784053.75336,54314784053.75336,45235679774.30135,45235679774.30135,45235679774.30135
131,SVK,493048929946.17883,693606733892.6239,739543110166.7543,730047272856.7482,246494180220.57544,246494180220.57544,246494180220.57544,45936376274.13037,45936376274.13037,45936376274.13037,236998342910.56934,236998342910.56934,236998342910.56934,36440538964.12427,36440538964.12427,36440538964.12427
132,SVN,205063486416.88116,257425412433.6577,276848589311.897,272671049617.46854,71785102895.01581,71785102895.01581,71785102895.01581,19423176878.239258,19423176878.239258,19423176878.239258,67607563200.58737,67607563200.58737,67607563200.58737,15245637183.810822,15245637183.810822,15245637183.810822
133,SWE,1132905654663.8064,1419866897820.705,1282492426346.2646,1412716388302.2017,149586771682.45825,149586771682.45825,149586771682.45825,-137374471474.44043,-137374471474.44043,-137374471474.44043,279810733638.39526,279810733638.39526,279810733638.39526,-7150509518.503418,-7150509518.503418,-7150509518.503418
134,SWZ,34887745501.268845,43097045100.16966,165441515341.9927,216685445044.24066,130553769840.72386,130553769840.72386,130553769840.72386,122344470241.82304,122344470241.82304,122344470241.82304,181797699542.9718,181797699542.9718,181797699542.9718,173588399944.07098,173588399944.07098,173588399944.07098
135,SYC,2940660077.723262,3687986435.2411942,12452991541.67737,13161522362.873276,9512331463.95411,9512331463.95411,9512331463.95411,8765005106.436176,8765005106.436176,8765005106.436176,10220862285.150013,10220862285.150013,10220862285.150013,9473535927.632082,9473535927.632082,9473535927.632082
136,SYR,3269502378585.6,3813320421054.2236,2472664379259.841,3488723086428.066,-796837999325.7593,-796837999325.7593,-796837999325.7593,-1340656041794.3828,-1340656041794.3828,-1340656041794.3828,219220707842.46582,219220707842.46582,219220707842.46582,-324597334626.1577,-324597334626.1577,-324597334626.1577
137,TGO,1106992286754.2698,1329071737983.075,906583817829.978,1340957690028.3914,-200408468924.29175,-200408468924.29175,-200408468924.29175,-422487920153.0969,-422487920153.0969,-422487920153.0969,233965403274.12158,233965403274.12158,233965403274.12158,11885952045.316406,11885952045.316406,11885952045.316406
138,THA,8009204650832.547,10035480118633.113,9331082427484.707,9494655112920.23,1321877776652.1602,1321877776652.1602,1321877776652.1602,-704397691148.4062,-704397691148.4062,-704397691148.4062,1485450462087.6836,1485450462087.6836,1485450462087.6836,-540825005712.8828,-540825005712.8828,-540825005712.8828
139,TON,25953942543.49803,30510918956.23601,13524135369.586555,15660370863.616549,-12429807173.911476,-12429807173.911476,-12429807173.911476,-16986783586.649456,-16986783586.649456,-16986783586.649456,-10293571679.881483,-10293571679.881483,-10293571679.881483,-14850548092.619463,-14850548092.619463,-14850548092.619463
140,TTO,100210263039.94048,111704899052.70767,183149733623.2933,187491772178.2615,82939470583.35283,82939470583.35283,82939470583.35283,71444834570.58563,71444834570.58563,71444834570.58563,87281509138.32103,87281509138.32103,87281509138.32103,75786873125.55383,75786873125.55383,75786873125.55383
141,TUN,2170597027489.664,2524199197531.0864,1484216546077.5315,1724348271953.063,-686380481412.1326,-686380481412.1326,-686380481412.1326,-1039982651453.5549,-1039982651453.5549,-1039982651453.5549,-446248755536.6011,-446248755536.6011,-446248755536.6011,-799850925578.0234,-799850925578.0234,-799850925578.0234
142,TUR,18485521618907.984,22354884097476.3,10256334737335.93,11911930528685.482,-8229186881572.055,-8229186881572.055,-8229186881572.055,-12098549360140.371,-12098549360140.371,-12098549360140.371,-6573591090222.502,-6573591090222.502,-6573591090222.502,-10442953568790.818,-10442953568790.818,-10442953568790.818
143,TZA,13930986928884.463,16687408092961.291,6432119237608.574,10457078670864.662,-7498867691275.889,-7498867691275.889,-7498867691275.889,-10255288855352.717,-10255288855352.717,-10255288855352.717,-3473908258019.801,-3473908258019.801,-3473908258019.801,-6230329422096.629,-6230329422096.629,-6230329422096.629
144,UGA,5812666647021.691,7023320366407.289,4713616931056.986,7886547075532.491,-1099049715964.7051,-1099049715964.7051,-1099049715964.7051,-2309703435350.3027,-2309703435350.3027,-2309703435350.3027,2073880428510.7998,2073880428510.7998,2073880428510.7998,863226709125.2021,863226709125.2021,863226709125.2021
145,UKR,19469531949565.168,23186947157471.242,6078705577901.97,5572357514197.726,-13390826371663.2,-13390826371663.2,-13390826371663.2,-17108241579569.273,-17108241579569.273,-17108241579569.273,-13897174435367.441,-13897174435367.441,-13897174435367.441,-17614589643273.516,-17614589643273.516,-17614589643273.516
146,URY,1039731399295.2412,1413818294594.6042,449757675827.63196,472733877973.8325,-589973723467.6093,-589973723467.6093,-589973723467.6093,-964060618766.9723,-964060618766.9723,-964060618766.9723,-566997521321.4087,-566997521321.4087,-566997521321.4087,-941084416620.7717,-941084416620.7717,-941084416620.7717
147,USA,79273365729533.77,99138659624376.8,42439548019503.516,46950205961742.09,-36833817710030.25,-36833817710030.25,-36833817710030.25,-56699111604873.28,-56699111604873.28,-56699111604873.28,-32323159767791.67,-32323159767791.67,-32323159767791.67,-52188453662634.7,-52188453662634.7,-52188453662634.7
148,VCT,9082188381.561043,11802170310.047844,14621585809.504984,15077668122.45469,5539397427.943941,5539397427.943941,5539397427.943941,2819415499.45714,2819415499.45714,2819415499.45714,5995479740.893648,5995479740.893648,5995479740.893648,3275497812.406847,3275497812.406847,3275497812.406847
149,VEN,2630156446859.282,2979634200300.168,4060674371418.6133,4909434282436.625,1430517924559.331,1430517924559.331,1430517924559.331,1081040171118.4453,1081040171118.4453,1081040171118.4453,2279277835577.343,2279277835577.343,2279277835577.343,1929800082136.457,1929800082136.457,1929800082136.457
150,VUT,58074113217.33127,66847513877.18796,33179967734.217907,46211446989.22408,-24894145483.11336,-24894145483.11336,-24894145483.11336,-33667546142.97005,-33667546142.97005,-33667546142.97005,-11862666228.107185,-11862666228.107185,-11862666228.107185,-20636066887.963875,-20636066887.963875,-20636066887.963875
151,YEM,2121426320107.3953,2411369737595.5293,3312017384989.7134,4754605917581.438,1190591064882.318,1190591064882.318,1190591064882.318,900647647394.1841,900647647394.1841,900647647394.1841,2633179597474.043,2633179597474.043,2633179597474.043,2343236179985.909,2343236179985.909,2343236179985.909
152,ZAF,3827459837654.0825,4571666817067.989,7193455634374.406,8608363643178.143,3365995796720.3237,3365995796720.3237,3365995796720.3237,2621788817306.417,2621788817306.417,2621788817306.417,4780903805524.061,4780903805524.061,4780903805524.061,4036696826110.1533,4036696826110.1533,4036696826110.1533
153,ZMB,897461096697.8368,1087262525540.8988,1927817515722.892,3102806238815.967,1030356419025.0553,1030356419025.0553,1030356419025.0553,840554990181.9933,840554990181.9933,840554990181.9933,2205345142118.13,2205345142118.13,2205345142118.13,2015543713275.0679,2015543713275.0679,2015543713275.0679
154,ZWE,546045725159.5146,635815556876.8525,1924781601659.119,2760531910256.7466,1378735876499.6042,1378735876499.6042,1378735876499.6042,1288966044782.2664,1288966044782.2664,1288966044782.2664,2214486185097.232,2214486185097.232,2214486185097.232,2124716353379.894,2124716353379.894,2124716353379.894
